show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Music & Musicals,Classic Movies,Documentaries,Sci-Fi & Fantasy,Faith & Spirituality,Thrillers,Dramas,Action & Adventure,Independent Movies,Cult Movies,LGBTQ Movies,Movies,Sports Movies,Children & Family Movies,Horror Movies,Comedies,Stand-Up Comedy,International Movies,Romantic Movies,avg_dur
s6810,Froning: The Fittest Man in History,Heber Cannon,Rich Froning,2018-07-15,2016,PG,99,"Documentaries, International Movies, Sports Movies",8.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,84
s6814,Frozen River,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe, Mark Boone Junior, James Reilly, Jay Klaitz, John Canoe, Dylan Carusona, Michael Sky",2019-07-01,2008,R,97,"Dramas, Independent Movies",14.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,106
s6819,G-Force,Hoyt Yeatman,"Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner, Tyler Patrick Jones, Piper Mackenzie Harris, Gabriel Casseus, Jack Conley, Niecy Nash, Justin Mentell, Nicolas Cage, Sam Rockwell, Jon Favreau, Penélope Cruz, Steve Buscemi, Tracy Morgan",2019-03-15,2009,PG,88,"Children & Family Movies, Comedies",11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,84
s6840,Get Him to the Greek,Nicholas Stoller,"Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne, Colm Meaney, Sean ""P. Diddy"" Combs, Aziz Ansari, Carla Gallo, Nick Kroll, Kristen Schaal",2020-01-16,2010,R,109,"Comedies, Music & Musicals",13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,106
s6843,Get Smart,Peter Segal,"Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Terry Crews, David Koechner, James Caan, Masi Oka, Nate Torrence, Bill Murray",2019-04-01,2008,PG-13,110,"Action & Adventure, Comedies",15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,98
s6844,Getting Played,David Silberg,"Carmen Electra, Stacey Dash, Vivica A. Fox, Bill Bellamy, Kathy Najimy, Joe Torry, Dorian Gregory, Mindy Sterling, Joseph C. Phillips, Larry B. Scott, Michael Jai White, Sheryl Underwood, Earthquake",2019-11-01,2005,PG-13,85,"Comedies, Romantic Movies",14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,98
s6854,Gigi,"Vincente Minnelli, Charles Walters","Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold, Eva Gabor, Jacques Bergerac, Isabel Jeans, John Abbott, Edwin Jerome, Corinne Marchand",2019-11-01,1958,G,115,"Classic Movies, Comedies, Music & Musicals",9.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92
s6859,God Bless the Broken Road,Harold Cronk,"Patrika Darbo, Kim Delaney, Jordin Sparks, Makenzie Moss, Liam Matthews, Andrew W. Walker, Lindsay Pulsipher, Gary Grubbs, Robin Givens, Arthur Cartwright",2019-02-09,2018,PG,111,"Children & Family Movies, Dramas, Faith & Spirituality",11.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,84
s6862,God's Not Dead,Harold Cronk,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Benjamin A. Onyango, Paul Kwo, Hadeel Sittu, Trisha LaFache, Cory Oliver, Willie Robertson, Korie Robertson",2020-04-01,2014,PG,113,"Dramas, Faith & Spirituality",14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84
s6863,God's Not Dead: A Light in Darkness,Michael Mason,"David A.R. White, John Corbett, Shane Harper, Ted McGinley, Jennifer Taylor, Benjamin A. Onyango, Tatum O'Neal, Cissy Houston",2018-12-04,2018,PG,106,"Dramas, Faith & Spirituality",13.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84
s6873,Gone are the Days,Mark Landre Gould,"Lance Henriksen, Tom Berenger, Meg Steedle, Danny Trejo",2019-01-01,2018,R,100,Independent Movies,12.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,106
